datetime,forecast_kwh
2024-01-01 00:00:00,155.089294905165
2024-01-01 01:00:00,172.79613290380468
2024-01-01 02:00:00,178.39451372330302
2024-01-01 03:00:00,183.65919150993147
2024-01-01 04:00:00,190.54058169991848
2024-01-01 05:00:00,185.5783781473048
2024-01-01 06:00:00,227.68107713899062
2024-01-01 07:00:00,229.57320923702213
2024-01-01 08:00:00,240.2159811713566
2024-01-01 09:00:00,265.79744295632247
2024-01-01 10:00:00,246.0714673865624
2024-01-01 11:00:00,246.12946753486054
2024-01-01 12:00:00,248.9776038187193
2024-01-01 13:00:00,232.38033801286275
2024-01-01 14:00:00,235.79262041508747
2024-01-01 15:00:00,218.27086684655643
2024-01-01 16:00:00,229.52640369406333
2024-01-01 17:00:00,226.40731831512542
2024-01-01 18:00:00,225.43114824704304
2024-01-01 19:00:00,214.98469643321496
2024-01-01 20:00:00,217.14527057976252
2024-01-01 21:00:00,217.35025501852917
2024-01-01 22:00:00,195.8278599762142
2024-01-01 23:00:00,194.81969529438058
2024-01-02 00:00:00,197.5146911254438
2024-01-02 01:00:00,178.36076817151996
2024-01-02 02:00:00,181.0133613540335
2024-01-02 03:00:00,177.6823282691448
2024-01-02 04:00:00,206.06925615223258
2024-01-02 05:00:00,195.13487035781517
2024-01-02 06:00:00,230.47141867356532
2024-01-02 07:00:00,232.01629266545504
2024-01-02 08:00:00,237.78047460074293
2024-01-02 09:00:00,254.90912265388926
2024-01-02 10:00:00,256.37352683717455
2024-01-02 11:00:00,248.74220999267257
2024-01-02 12:00:00,248.6277758198397
2024-01-02 13:00:00,250.70690977345132
2024-01-02 14:00:00,244.9540672636756
2024-01-02 15:00:00,235.98681574117015
2024-01-02 16:00:00,217.6645750416255
2024-01-02 17:00:00,217.0777552994813
2024-01-02 18:00:00,231.78891854757623
2024-01-02 19:00:00,230.3316189206464
2024-01-02 20:00:00,214.02594007440504
2024-01-02 21:00:00,221.6521121865532
2024-01-02 22:00:00,196.68192776052962
2024-01-02 23:00:00,199.60974241926124
2024-01-03 00:00:00,179.44918074854536
2024-01-03 01:00:00,183.080157219839
2024-01-03 02:00:00,175.0299406990265
2024-01-03 03:00:00,178.1244841932546
2024-01-03 04:00:00,187.10779483371937
2024-01-03 05:00:00,212.63173650567757
2024-01-03 06:00:00,238.53976299938117
2024-01-03 07:00:00,239.88923502564236
2024-01-03 08:00:00,236.85129315020328
2024-01-03 09:00:00,258.8780275739193
2024-01-03 10:00:00,252.79359859953536
2024-01-03 11:00:00,239.6453230107615
2024-01-03 12:00:00,232.98434343540552
2024-01-03 13:00:00,233.45121337604925
2024-01-03 14:00:00,223.3735437952584
2024-01-03 15:00:00,229.02194370438897
2024-01-03 16:00:00,222.00080365307832
2024-01-03 17:00:00,212.07754393882723
2024-01-03 18:00:00,213.38811914018567
2024-01-03 19:00:00,216.26167478723875
2024-01-03 20:00:00,204.4880773143289
2024-01-03 21:00:00,217.0556618826345
2024-01-03 22:00:00,190.77838700805
2024-01-03 23:00:00,178.53811892172706
2024-01-04 00:00:00,181.6343225966712
2024-01-04 01:00:00,166.8520380518547
2024-01-04 02:00:00,179.56508536728356
2024-01-04 03:00:00,188.4298269467707
2024-01-04 04:00:00,188.97053502231196
2024-01-04 05:00:00,194.9714024893265
2024-01-04 06:00:00,212.98306569137054
2024-01-04 07:00:00,225.78437016409907
2024-01-04 08:00:00,245.49514440736021
2024-01-04 09:00:00,243.2403951767879
